,clust,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
18,1,Oregon,5710.333114999999,No,Basic,College,2/27/11,Employed,M,51148,Urban,Married,72.0,9,1,0.0,7.0,Personal Auto,Personal L2,Offer2,Branch,308.981664,Four-Door Car,Medsize
19,1,California,8162.617053,No,Premium,High School or Below,1/14/11,Employed,F,66140,Suburban,Married,101.0,11,21,0.0,3.0,Corporate Auto,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,Small
20,1,Oregon,2872.051273,No,Basic,High School or Below,2/19/11,Employed,M,57749,Suburban,Single,74.0,31,21,0.0,1.0,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize
21,0,Washington,3041.791561,No,Extended,Bachelor,1/21/11,Disabled,F,13789,Suburban,Divorced,79.0,8,49,0.0,1.0,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize
22,0,Arizona,16414.039911750002,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71.0,13,3,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize
23,0,Nevada,2450.1909960000003,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Single,73.0,4,44,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,Medsize
24,2,California,2392.1078899999998,No,Basic,Bachelor,5/2/2011,Disabled,F,17870,Suburban,Married,61.0,30,91,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize
25,3,Oregon,5802.0659780000005,No,Basic,College,1/29/11,Employed,M,97541,Suburban,Married,72.0,22,1,0.0,3.0,Personal Auto,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large
26,0,California,3946.372085,No,Premium,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,111.0,15,47,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,799.2,Four-Door Car,Small
27,0,Washington,5346.916576,No,Extended,Master,12/2/2011,Disabled,F,10511,Urban,Married,139.0,33,64,0.0,1.0,Corporate Auto,Corporate L1,Offer1,Branch,516.237951,SUV,Medsize
28,3,Arizona,12902.560140000001,No,Premium,College,2/2/2011,Employed,F,86584,Suburban,Single,111.0,33,54,0.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large
29,3,Oregon,3235.360468,No,Extended,Master,7/2/2011,Employed,F,75690,Suburban,Married,80.0,17,44,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small
30,2,Arizona,2454.5835399999996,No,Basic,College,2/28/11,Employed,M,23158,Suburban,Married,63.0,4,6,0.0,1.0,Personal Auto,Personal L2,Offer4,Call Center,322.29404300000004,Four-Door Car,Small
31,1,Nevada,16414.039911750002,No,Extended,High School or Below,1/22/11,Employed,M,65999,Urban,Married,170.5,1,14,0.0,6.0,Corporate Auto,Corporate L2,Offer2,Agent,615.927769,Luxury SUV,Medsize
32,0,California,4715.321344,No,Basic,Bachelor,1/25/11,Unemployed,M,0,Urban,Married,65.0,19,56,0.0,3.0,Personal Auto,Personal L3,Offer1,Call Center,308.15089,Four-Door Car,Medsize
33,1,Washington,5018.885233,No,Basic,Bachelor,1/18/11,Employed,M,54500,Suburban,Married,63.0,28,17,0.0,6.0,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small
34,2,Oregon,4932.916345000001,No,Basic,Bachelor,2/13/11,Employed,F,37260,Rural,Married,62.0,19,42,0.0,8.0,Corporate Auto,Corporate L1,Offer3,Web,15.437681,Four-Door Car,Medsize
35,1,Arizona,5744.229745000001,No,Basic,High School or Below,1/15/11,Employed,F,68987,Urban,Married,71.0,11,40,0.0,6.0,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize
36,2,California,13891.735669999998,No,Premium,Bachelor,8/1/2011,Employed,M,42305,Suburban,Married,117.0,10,62,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small
37,1,Oregon,7380.9767170000005,No,Extended,Master,6/2/2011,Employed,F,65706,Suburban,Married,91.0,19,86,0.0,8.0,Personal Auto,Personal L3,Offer2,Web,436.8,Four-Door Car,Small
38,0,Oregon,3090.034104,No,Extended,Bachelor,1/25/11,Unemployed,M,0,Suburban,Single,90.0,7,79,0.0,1.0,Personal Auto,Personal L2,Offer3,Agent,648.0,Two-Door Car,Small
39,1,Arizona,2521.633095,No,Basic,High School or Below,7/2/2011,Employed,M,53243,Rural,Divorced,66.0,4,15,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,Medsize
40,0,Nevada,2652.0617850000003,No,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,70.0,7,1,0.0,1.0,Corporate Auto,Corporate L3,Offer3,Call Center,484.31853600000005,Two-Door Car,Medsize
41,1,Oregon,2771.0450309999997,Yes,Basic,College,11/1/2011,Employed,F,50071,Rural,Single,71.0,3,32,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,Medsize
42,1,California,3939.0063700000005,Yes,Extended,Bachelor,1/28/11,Employed,F,60021,Suburban,Married,99.0,12,28,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,882.8719449999999,Four-Door Car,Small
43,1,Arizona,12231.87968,No,Basic,High School or Below,8/2/2011,Employed,M,43244,Suburban,Married,103.0,15,16,0.0,2.0,Personal Auto,Personal L2,Offer4,Agent,494.4,Sports Car,Medsize
44,3,Washington,2443.665166,No,Basic,College,2/23/11,Employed,M,92834,Suburban,Married,61.0,15,56,0.0,1.0,Special Auto,Special L2,Offer2,Call Center,292.8,Four-Door Car,Large
45,0,Oregon,12819.10289,No,Premium,Doctor,1/25/11,Disabled,F,10105,Rural,Married,170.5,5,4,0.0,3.0,Personal Auto,Personal L2,Offer1,Branch,0.517753,SUV,Medsize
46,0,Arizona,4468.510542,No,Basic,Bachelor,1/31/11,Unemployed,M,0,Suburban,Single,73.0,7,57,0.0,5.0,Personal Auto,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,Medsize
47,2,Oregon,5514.344018,No,Basic,High School or Below,2/1/2011,Employed,F,23218,Suburban,Single,71.0,7,10,0.0,4.0,Personal Auto,Personal L2,Offer4,Agent,447.79344000000003,Two-Door Car,Medsize
48,0,California,3343.8753260000003,No,Extended,Bachelor,7/2/2011,Unemployed,F,0,Suburban,Married,92.0,11,77,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize
49,0,Arizona,2294.478927,No,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,62.0,11,56,0.0,1.0,Personal Auto,Personal L2,Offer4,Branch,313.023175,Four-Door Car,Medsize
50,2,Oregon,16414.039911750002,No,Basic,College,1/17/11,Employed,M,24804,Suburban,Married,104.0,1,28,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,593.830288,SUV,Small
51,2,California,16414.039911750002,Yes,Basic,Bachelor,11/1/2011,Employed,F,33190,Suburban,Divorced,106.0,18,95,0.0,2.0,Corporate Auto,Corporate L1,Offer1,Web,508.8,SUV,Medsize
52,2,Nevada,7983.431709,No,Basic,High School or Below,2/21/11,Employed,F,36014,Rural,Married,69.0,4,40,0.0,2.0,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize
53,2,Washington,4854.745666,No,Basic,Bachelor,2/16/11,Employed,M,29834,Suburban,Single,64.0,19,44,0.0,3.0,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize
54,2,California,4293.997319,No,Premium,Bachelor,1/17/11,Disabled,M,16701,Suburban,Married,113.0,20,26,0.0,1.0,Personal Auto,Personal L2,Offer1,Branch,831.625979,Four-Door Car,Small
55,1,Arizona,7164.3955430000005,No,Extended,College,5/2/2011,Employed,F,46623,Suburban,Divorced,91.0,1,53,0.0,3.0,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small
56,1,California,7619.5158,No,Basic,College,2/13/11,Employed,M,64749,Urban,Married,64.0,24,59,0.0,2.0,Special Auto,Special L2,Offer2,Branch,302.56519,Four-Door Car,Medsize
57,0,Arizona,3958.002823,No,Basic,High School or Below,2/23/11,Unemployed,F,0,Suburban,Married,101.0,29,12,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,Small
58,2,Oregon,4499.493252,No,Extended,High School or Below,1/28/11,Disabled,F,16969,Suburban,Divorced,124.0,34,47,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,704.7681110000001,SUV,Medsize
59,0,Oregon,4059.567414,No,Premium,Master,2/28/11,Disabled,F,11621,Suburban,Divorced,108.0,4,98,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize
60,2,Arizona,4458.113369,Yes,Basic,Bachelor,2/1/2011,Retired,M,17622,Suburban,Divorced,65.0,1,36,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,312.0,Four-Door Car,Medsize
61,0,California,8110.333139,No,Premium,Bachelor,1/22/11,Medical Leave,F,11489,Suburban,Married,105.0,4,50,0.0,6.0,Personal Auto,Personal L3,Offer1,Call Center,504.0,Two-Door Car,Small
62,0,Oregon,3339.764873,No,Extended,Bachelor,1/15/11,Unemployed,M,0,Suburban,Single,94.0,20,53,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small
63,1,California,16414.039911750002,No,Basic,High School or Below,1/27/11,Employed,F,66525,Rural,Married,100.0,0,86,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,104.331355,SUV,Medsize
64,0,Arizona,6613.973653,No,Basic,Bachelor,1/23/11,Unemployed,F,0,Suburban,Single,63.0,21,28,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large
65,2,Washington,2930.693543,No,Basic,College,1/31/11,Employed,M,33663,Suburban,Married,73.0,29,71,0.0,1.0,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize
66,2,Oregon,8672.194272,No,Basic,College,1/26/11,Employed,F,22547,Suburban,Divorced,112.0,7,60,0.0,3.0,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize
67,1,Arizona,11638.669259999999,No,Extended,High School or Below,10/1/2011,Employed,F,61486,Urban,Married,97.0,5,65,0.0,2.0,Personal Auto,Personal L3,Offer4,Branch,465.25864400000006,Two-Door Car,Small
68,0,Oregon,6846.150323000001,Yes,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Divorced,95.0,13,20,0.0,5.0,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large
69,2,California,11727.77648,No,Premium,College,9/1/2011,Disabled,F,29879,Suburban,Married,102.0,17,0,0.0,2.0,Personal Auto,Personal L3,Offer3,Web,500.25423499999994,Four-Door Car,Medsize
70,3,Oregon,16414.039911750002,No,Basic,High School or Below,2/24/11,Employed,M,93011,Rural,Divorced,113.0,17,12,0.0,2.0,Personal Auto,Personal L3,Offer4,Agent,281.451042,SUV,Medsize
71,1,Oregon,2614.474305,No,Basic,Master,11/2/2011,Employed,M,65186,Rural,Married,65.0,29,27,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,5.434505000000001,Two-Door Car,Large
72,2,Oregon,2451.752695,No,Basic,Master,12/2/2011,Medical Leave,M,26840,Suburban,Married,64.0,1,47,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize
73,0,Oregon,6781.270203,No,Basic,Bachelor,4/2/2011,Unemployed,M,0,Suburban,Single,104.0,30,3,0.0,5.0,Personal Auto,Personal L3,Offer1,Agent,982.399613,Sports Car,Medsize
74,3,Oregon,4974.801539,Yes,Basic,Bachelor,1/18/11,Employed,M,75644,Suburban,Divorced,65.0,5,68,0.0,8.5,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize
75,2,Oregon,8591.604933,No,Basic,Bachelor,11/2/2011,Employed,M,38984,Suburban,Married,73.0,27,38,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small
76,3,Oregon,5592.161392,No,Basic,High School or Below,1/2/2011,Employed,F,71811,Rural,Single,71.0,17,48,0.0,6.0,Personal Auto,Personal L1,Offer2,Call Center,29.034159999999996,Four-Door Car,Medsize
77,2,Nevada,8009.472833,No,Basic,College,2/15/11,Employed,M,20961,Suburban,Married,67.0,20,33,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize
78,2,Washington,11318.089820000001,No,Extended,College,6/2/2011,Employed,M,38923,Rural,Married,99.0,6,83,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,115.728852,Four-Door Car,Medsize
79,1,California,16414.039911750002,No,Basic,Bachelor,2/27/11,Employed,M,61321,Rural,Single,170.5,0,30,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,427.63120999999995,Luxury Car,Small
80,0,California,8025.229358,No,Extended,College,1/26/11,Unemployed,F,0,Rural,Single,77.0,20,26,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large
81,1,California,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,M,51066,Suburban,Single,74.0,23,0,0.0,8.0,Personal Auto,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize
82,2,California,4118.539113,No,Basic,Doctor,1/27/11,Employed,M,34378,Suburban,Married,102.0,12,54,0.0,1.0,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize
83,1,Nevada,2523.07015,No,Basic,Master,1/16/11,Employed,M,43072,Suburban,Married,63.0,35,15,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large
84,2,Oregon,6554.216396,No,Extended,College,1/27/11,Disabled,F,25222,Suburban,Single,90.0,28,69,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small
85,2,Washington,7703.397293999999,No,Basic,High School or Below,2/28/11,Employed,M,36765,Suburban,Married,66.0,15,32,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,320.84907200000004,Four-Door Car,Medsize
86,2,California,5926.729379,Yes,Extended,College,1/25/11,Retired,M,23091,Suburban,Married,96.0,28,90,0.0,5.0,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize
87,1,California,2683.470677,No,Basic,Bachelor,1/1/2011,Employed,F,48269,Urban,Married,69.0,3,79,0.0,1.0,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize
88,2,Oregon,2695.182419,No,Basic,Bachelor,1/2/2011,Employed,F,32720,Suburban,Divorced,67.0,13,12,0.0,1.0,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize
89,2,California,6047.02516,Yes,Extended,College,2/19/11,Employed,M,20396,Suburban,Married,76.0,15,60,0.0,4.0,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize
90,2,Oregon,13171.01282,No,Premium,College,1/27/11,Medical Leave,M,21513,Suburban,Married,119.0,21,81,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small
91,3,Washington,10656.88195,Yes,Extended,Bachelor,2/27/11,Employed,F,72540,Suburban,Married,88.0,7,3,0.0,2.0,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize
92,3,Oregon,2527.653796,No,Basic,Bachelor,1/17/11,Employed,F,80744,Rural,Married,63.0,24,84,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize
93,1,Oregon,2672.0957559999997,No,Basic,Bachelor,10/2/2011,Employed,M,52822,Suburban,Married,67.0,23,88,0.0,1.0,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small
94,0,California,5313.294035,No,Extended,High School or Below,1/24/11,Unemployed,F,0,Suburban,Single,77.0,8,10,0.0,8.5,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize
95,1,Oregon,16414.039911750002,No,Basic,Bachelor,2/24/11,Employed,F,69738,Suburban,Married,74.0,2,26,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,492.12753200000003,Four-Door Car,Large
96,2,Arizona,8375.353929,No,Basic,Master,2/15/11,Medical Leave,F,17780,Rural,Married,109.0,12,18,0.0,8.5,Personal Auto,Personal L3,Offer1,Branch,132.58828799999998,SUV,Medsize
97,2,California,4801.661503,No,Basic,Bachelor,2/16/11,Medical Leave,M,18107,Suburban,Married,62.0,29,11,0.0,8.0,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize
98,1,Arizona,5745.94334,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74.0,30,87,0.0,8.5,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize
99,2,Oregon,6066.1159689999995,No,Extended,College,2/25/11,Employed,M,32627,Suburban,Married,76.0,11,60,0.0,7.0,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small
100,0,California,8002.308333,Yes,Basic,College,11/1/2011,Unemployed,F,0,Suburban,Married,107.0,3,65,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize
101,0,California,2393.9153690000003,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70.0,24,10,0.0,1.0,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize
102,1,Oregon,4762.8179,No,Basic,Bachelor,12/1/2011,Employed,M,65795,Rural,Single,62.0,2,85,0.0,3.0,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize
103,1,California,4330.38602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107.0,9,18,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize
104,0,California,9402.729769,No,Extended,High School or Below,9/2/2011,Unemployed,F,0,Suburban,Single,130.0,28,88,0.0,4.0,Personal Auto,Personal L3,Offer1,Web,936.0,SUV,Medsize
105,2,Oregon,6966.694527,No,Extended,Bachelor,1/19/11,Employed,F,41837,Rural,Married,88.0,29,93,0.0,8.5,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small
106,2,California,7694.064293,No,Basic,Bachelor,4/1/2011,Employed,F,32303,Rural,Married,65.0,13,34,0.0,2.0,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize
107,0,Oregon,8717.561149,No,Basic,High School or Below,9/1/2011,Unemployed,M,0,Suburban,Married,117.0,5,89,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize
108,2,California,5928.748528,No,Basic,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74.0,17,32,0.0,8.5,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize
109,3,Oregon,2452.977288,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62.0,5,86,0.0,1.0,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize
110,1,California,6701.571657,No,Extended,College,2/27/11,Employed,M,56398,Suburban,Married,85.0,4,18,0.0,7.0,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small
111,2,Washington,7556.24034,No,Extended,High School or Below,12/2/2011,Employed,M,35257,Suburban,Divorced,98.0,16,2,0.0,8.0,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small
112,2,Arizona,8492.6988,No,Basic,College,2/26/11,Employed,M,27804,Suburban,Married,109.0,19,54,0.0,7.0,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize
113,1,Oregon,7713.494046,No,Basic,Bachelor,2/20/11,Employed,M,45506,Suburban,Single,66.0,16,32,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize
114,1,Washington,16414.039911750002,No,Basic,High School or Below,2/2/2011,Employed,M,65196,Suburban,Married,67.0,0,54,0.0,2.0,Personal Auto,Personal L2,Offer4,Branch,396.08203599999996,Four-Door Car,Medsize
115,0,California,7290.069769,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Married,102.0,11,70,0.0,3.0,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize
116,2,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133.0,35,90,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize
117,2,Arizona,6806.491395,No,Extended,High School or Below,1/21/11,Employed,M,37839,Suburban,Married,86.0,35,77,0.0,8.5,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize
118,3,California,2469.781334,No,Basic,Bachelor,1/15/11,Employed,F,92711,Suburban,Single,62.0,24,10,0.0,1.0,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize
119,3,California,3103.923041,No,Extended,College,5/2/2011,Employed,F,74665,Urban,Married,78.0,10,90,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,236.90200099999998,Four-Door Car,Medsize
120,0,Washington,2981.875575,No,Extended,College,2/24/11,Unemployed,M,0,Suburban,Married,83.0,26,89,0.0,1.0,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize
121,1,California,8902.737595,No,Basic,Bachelor,5/1/2011,Employed,M,46833,Rural,Married,112.0,6,3,0.0,8.5,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize
122,3,Oregon,5499.447223,No,Basic,High School or Below,1/28/11,Employed,F,88768,Suburban,Married,68.0,17,77,0.0,7.0,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small
123,2,California,15023.598580000002,No,Basic,High School or Below,12/1/2011,Employed,M,28262,Suburban,Single,170.5,9,77,0.0,3.0,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize
124,2,Nevada,2509.107875,No,Basic,Bachelor,2/16/11,Employed,F,33555,Rural,Married,63.0,17,11,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize
125,1,Oregon,16414.039911750002,No,Premium,College,3/1/2011,Employed,M,42780,Suburban,Divorced,113.0,10,27,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize
126,1,Oregon,3133.503432,No,Extended,Master,7/2/2011,Employed,F,58850,Rural,Single,78.0,20,26,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize
127,2,Arizona,3837.4518630000002,No,Extended,College,1/13/11,Employed,M,21880,Urban,Married,97.0,29,37,0.0,1.0,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize
128,2,Oregon,11790.49617,Yes,Basic,College,3/1/2011,Retired,M,25251,Suburban,Divorced,66.0,13,43,0.0,2.0,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
129,0,Washington,7838.068321,No,Basic,Master,2/17/11,Unemployed,F,0,Rural,Married,69.0,9,12,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,Medsize
