,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
65,4,53914.0,0.0,3,1,1,33767.0,38.0,777.5,2.5,6826,1
66,0,9375.0,0.0,1,1,1,1750.0,7.0,0.0,0.0,6826,0
67,1,83237.0,0.0,4,1,1,35287.0,18.0,0.0,0.0,6837,0
68,2,203218.75,0.0,3,1,1,24047.0,12.0,0.0,0.0,6826,1
69,2,47457.0,0.0,3,1,1,12621.0,16.0,0.0,0.0,7766,1
70,3,84409.0,0.0,2,1,1,15436.0,16.0,777.5,2.5,7766,0
71,1,203218.75,0.0,4,1,1,39787.0,13.0,0.0,0.0,7787,0
72,1,203218.75,0.0,3,1,1,12500.0,13.0,50.0,1.0,7801,0
73,3,12646.0,0.0,1,1,1,631.0,4.0,631.0,2.5,7787,0
74,1,123867.0,0.0,3,1,1,25308.0,17.0,0.0,0.0,7759,0
75,1,129871.0,0.0,3,1,1,15776.0,22.0,0.0,0.0,7752,0
76,0,109380.0,0.0,1,1,1,7537.0,16.0,0.0,0.0,7749,0
77,1,111157.0,0.0,4,1,1,32883.0,19.0,0.0,0.0,7771,0
78,2,49238.0,0.0,4,1,1,38037.0,18.0,0.0,0.0,7801,1
79,4,38896.0,0.0,5,1,1,57626.25,16.0,556.0,1.0,7771,1
80,2,4340.0,0.0,1,1,1,32685.0,5.0,0.0,0.0,7733,1
81,3,88443.0,0.0,1,1,1,1200.0,3.0,777.5,2.5,6837,0
82,0,8454.0,0.0,1,1,1,498.0,9.0,0.0,0.0,6821,0
83,0,61990.0,0.0,1,1,1,1625.0,6.0,0.0,0.0,6833,0
84,0,24093.0,0.0,1,1,1,1750.0,7.0,0.0,0.0,6819,0
85,4,35418.0,0.0,5,1,1,57626.25,18.0,777.5,2.5,6813,1
86,2,40284.0,0.0,1,1,1,7719.0,5.0,0.0,0.0,6827,1
87,3,203218.75,0.0,3,1,1,21422.0,22.0,777.5,2.5,6820,0
88,3,62553.0,0.0,2,1,1,7672.0,16.0,700.0,1.0,6819,0
89,3,48433.0,0.0,1,1,1,3500.0,4.0,500.0,1.0,6807,1
90,3,20508.0,0.0,1,1,1,22250.0,8.0,777.5,2.5,6794,1
91,3,2000.0,0.0,1,1,1,2000.0,4.0,777.5,2.5,6809,0
92,2,78629.0,0.0,4,1,1,36679.0,25.0,0.0,0.0,6817,1
93,3,143566.0,0.0,1,1,1,5000.0,5.0,777.5,2.5,6785,1
94,4,185549.0,0.0,5,1,1,57626.25,38.0,777.5,2.5,6778,1
95,0,16796.0,0.0,1,1,1,2875.0,16.0,0.0,0.0,6773,0
96,0,57346.0,0.0,1,1,1,5560.0,23.0,0.0,0.0,6766,0
97,1,102062.0,0.0,4,1,1,44247.0,16.0,0.0,0.0,6758,0
98,0,22324.0,0.0,1,1,1,1375.0,4.0,0.0,0.0,6753,0
99,2,64824.0,0.0,3,1,1,20184.0,13.0,0.0,0.0,6770,1
100,2,25076.0,0.0,5,1,1,57203.0,14.0,0.0,0.0,6750,1
101,2,8053.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6750,1
102,0,35119.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6749,0
103,3,28667.0,0.0,1,1,1,3861.0,7.0,777.5,2.5,6749,1
104,0,34327.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6745,0
105,4,3734.0,0.0,5,1,1,57626.25,18.0,150.0,2.0,6760,1
106,4,96627.0,0.0,1,1,3,49059.0,26.0,777.5,2.5,6738,1
107,2,43498.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6759,1
108,2,84674.0,0.0,4,1,1,46335.0,14.0,50.0,1.0,6738,1
109,4,15098.0,0.0,4,1,1,32917.0,26.0,550.0,2.5,6737,1
110,1,181019.0,0.0,3,1,1,18415.0,15.0,0.0,0.0,7714,0
111,3,203218.75,0.0,1,1,1,8550.0,11.0,777.5,2.5,7714,1
112,4,124198.0,0.0,5,1,1,57626.25,23.0,777.5,2.5,7710,0
113,2,56906.0,0.0,1,1,1,2015.0,13.0,0.0,0.0,7707,1
114,3,203218.75,0.0,1,1,1,5422.0,20.0,777.5,2.0,7700,1
115,1,67018.0,0.0,3,1,1,23260.0,25.0,0.0,0.0,7698,0
116,1,143967.0,0.0,2,1,1,7346.0,11.0,0.0,0.0,7689,0
117,3,203218.75,0.0,1,1,1,2500.0,3.0,777.5,2.0,7718,1
118,2,122705.0,0.0,3,1,1,24222.0,15.0,0.0,0.0,7682,1
119,2,16583.0,0.0,1,1,1,2625.0,7.0,0.0,0.0,7682,1
120,0,77540.0,0.0,1,1,1,1000.0,1.0,0.0,0.0,7683,0
121,4,203218.75,0.0,5,1,1,57626.25,38.0,777.5,2.5,7668,1
122,4,81974.0,0.0,4,1,1,37266.0,18.0,777.5,2.5,7661,1
123,2,47258.0,0.0,3,1,1,24768.0,19.0,0.0,0.0,7659,1
124,1,77699.0,0.0,4,1,1,42775.0,13.0,0.0,0.0,7654,0
125,4,133954.0,0.0,4,1,1,37670.0,18.0,777.5,2.5,7654,1
126,4,203218.75,0.0,5,1,1,57626.25,26.0,777.5,2.5,7652,1
127,4,203218.75,0.0,4,1,1,56308.0,38.0,777.5,2.5,7645,1
128,2,48333.0,0.0,2,1,1,10123.0,14.0,0.0,0.0,6737,1
129,2,142175.0,0.0,4,1,1,37461.0,22.0,0.0,0.0,6732,1
130,2,17469.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6730,1
131,2,19823.0,0.0,1,1,1,1095.0,3.0,335.0,1.0,6730,1
132,2,145074.0,0.0,1,1,1,8000.0,4.0,0.0,0.0,6746,1
133,3,101101.0,0.0,1,1,1,10850.0,11.0,777.5,2.5,6725,1
134,2,125948.0,0.0,3,1,1,15155.0,15.0,0.0,0.0,6761,1
135,3,203218.75,0.0,1,1,1,19172.0,26.0,777.5,2.5,6723,1
136,1,129298.0,0.0,4,1,1,29099.0,15.0,0.0,0.0,6722,0
137,4,103302.0,0.0,4,1,1,53552.0,22.0,700.0,2.5,6718,1
138,2,160447.0,0.0,1,1,1,8578.0,25.0,0.0,0.0,6716,1
139,0,15472.0,0.0,1,1,1,3500.0,14.0,0.0,0.0,6715,0
140,0,39628.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6711,0
141,0,6112.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6709,0
142,3,31769.0,0.0,1,1,1,450.0,2.0,450.0,2.0,6707,0
143,1,126787.0,0.0,4,1,1,35021.0,17.0,0.0,0.0,6701,0
144,1,41547.0,0.0,3,1,1,16857.0,17.0,0.0,0.0,6697,0
145,3,100640.0,0.0,1,1,1,7600.0,8.0,777.5,2.5,6708,1
146,0,18707.0,0.0,1,1,1,100.0,1.0,0.0,0.0,6693,0
147,4,50593.0,0.0,5,1,1,57626.25,17.0,777.5,2.0,6689,1
148,1,84631.0,0.0,3,1,1,20415.0,17.0,0.0,0.0,6736,0
149,0,24868.0,0.0,1,1,1,205.0,5.0,0.0,0.0,6689,0
150,4,77097.0,0.0,4,1,1,42403.0,22.0,777.5,2.5,6683,1
151,4,203218.75,0.0,5,1,1,57626.25,18.0,777.5,2.5,7640,1
152,1,203218.75,0.0,5,1,1,57626.25,20.0,500.0,1.0,7640,0
153,0,87474.0,0.0,1,1,1,4581.0,15.0,0.0,0.0,7634,0
154,2,48707.0,0.0,4,1,1,37655.0,14.0,0.0,0.0,7631,1
155,1,203218.75,0.0,4,1,1,52574.0,21.0,500.0,1.0,7626,0
156,1,203218.75,0.0,3,1,1,19926.0,12.0,0.0,0.0,7624,0
157,2,44182.0,0.0,3,1,1,12313.0,12.0,0.0,0.0,7619,1
158,2,203218.75,0.0,5,1,1,57626.25,21.0,0.0,0.0,7612,1
159,0,46823.0,0.0,1,1,1,5860.0,12.0,0.0,0.0,7613,0
160,1,69110.0,0.0,3,1,1,18500.0,19.0,0.0,0.0,7598,0
161,4,120700.0,0.0,5,1,1,55323.0,17.0,777.5,1.0,7598,1
162,3,152945.0,0.0,1,1,1,18604.0,6.0,777.5,2.0,7598,1
163,2,10302.0,0.0,4,1,1,30298.0,19.0,0.0,0.0,7591,1
164,2,80331.0,0.0,3,1,1,15489.0,18.0,0.0,0.0,7634,1
165,0,69882.0,0.0,1,1,1,180.0,6.0,0.0,0.0,7582,0
166,0,95658.0,0.0,1,1,1,5269.0,18.0,0.0,0.0,7584,0
167,2,203218.75,0.0,5,1,1,57626.25,15.0,0.0,0.0,7582,1
168,2,203218.75,0.0,4,1,1,44615.0,16.0,0.0,0.0,7577,1
169,4,21694.0,0.0,4,1,1,45230.0,20.0,700.0,2.0,7575,1
170,2,71767.0,0.0,5,1,1,57626.25,13.0,0.0,0.0,7570,1
171,0,35820.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7575,0
172,4,203218.75,0.0,3,1,1,23740.0,6.0,777.5,2.0,7563,1
173,3,149285.0,0.0,1,1,1,15656.0,13.0,777.5,2.5,7561,1
174,1,120941.0,0.0,4,1,1,42301.0,21.0,0.0,0.0,7588,0
175,4,203218.75,0.0,4,1,1,43533.0,19.0,777.5,2.5,7575,1
176,3,106961.0,0.0,1,1,1,7357.0,19.0,200.0,2.0,7572,1
177,2,28086.0,0.0,2,1,1,7368.0,12.0,0.0,0.0,7549,1
178,2,60230.0,0.0,1,1,1,500.0,1.0,0.0,0.0,7544,1
179,3,6663.0,0.0,1,1,1,1125.0,7.0,750.0,2.5,7575,1
180,0,48145.0,0.0,1,1,1,10735.0,27.0,0.0,0.0,7540,0
181,4,127807.0,0.0,3,1,1,17086.0,16.0,777.5,2.5,7537,1
182,0,32948.0,0.0,1,1,1,50.0,1.0,50.0,1.0,7569,0
183,2,8933.0,0.0,2,1,1,8860.0,14.0,0.0,0.0,7533,1
184,1,49885.0,0.0,3,1,1,23640.0,17.0,0.0,0.0,7533,0
185,1,89999.0,0.0,3,1,1,11694.0,13.0,0.0,0.0,7530,0
186,4,203218.75,0.0,4,1,1,57173.0,38.0,777.5,2.5,7523,1
187,0,203218.75,0.0,1,1,1,3250.0,8.0,0.0,0.0,7521,0
188,1,203218.75,0.0,5,1,1,57626.25,31.0,0.0,0.0,7514,0
189,0,72173.0,0.0,1,1,1,2954.0,13.0,232.0,1.0,7509,0
190,4,123516.0,0.0,5,1,1,57626.25,31.0,500.0,2.0,7507,1
191,4,143080.0,0.0,4,1,1,44373.0,38.0,777.5,2.5,7575,1
192,2,203218.75,0.0,5,1,1,57626.25,24.0,0.0,0.0,7500,1
193,0,52738.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7498,0
194,2,24523.0,0.0,1,1,1,100.0,1.0,0.0,0.0,7493,1
195,0,134601.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7493,0
196,2,32742.0,0.0,5,1,1,57626.25,26.0,0.0,0.0,7488,1
197,1,108341.0,0.0,3,1,1,19670.0,21.0,0.0,0.0,7488,0
198,2,8669.0,0.0,1,3,1,11397.0,16.0,0.0,0.0,7486,1
199,2,118940.0,0.0,4,1,1,36001.0,17.0,150.0,1.0,7484,1
200,2,41385.0,0.0,4,1,1,26948.0,14.0,0.0,0.0,7481,1
201,3,28621.0,0.0,2,1,1,13878.0,20.0,777.5,2.5,7479,1
202,0,16230.0,0.0,1,1,1,486.0,2.0,0.0,0.0,7477,0
203,4,152881.0,0.0,5,1,1,57626.25,18.0,500.0,1.0,7474,1
204,0,37348.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7472,0
205,0,51468.0,0.0,1,1,1,2278.0,9.0,0.0,0.0,7460,0
206,4,95989.0,0.0,5,1,1,57626.25,30.0,777.5,2.5,7518,1
207,3,23184.0,0.0,1,1,1,3694.0,12.0,777.5,2.5,7467,1
208,2,27381.0,0.0,3,1,1,18009.0,18.0,0.0,0.0,7524,1
209,0,6854.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7467,0
210,4,201346.0,0.0,5,1,1,57626.25,34.0,600.0,2.5,7463,1
211,0,31588.0,0.0,1,1,1,2947.0,8.0,0.0,0.0,7463,0
212,1,203218.75,0.0,1,1,1,4671.0,14.0,0.0,0.0,7498,0
213,2,8298.0,0.0,3,1,1,20087.0,15.0,0.0,0.0,7498,1
214,3,10097.0,0.0,1,1,1,2700.0,1.0,777.5,1.0,7498,0
215,1,114356.0,0.0,4,1,1,27308.0,14.0,0.0,0.0,7456,0
216,0,1344.0,0.0,1,1,1,1134.0,9.0,0.0,0.0,7498,0
217,0,59797.0,0.0,1,1,1,7069.0,4.0,0.0,0.0,7444,0
218,2,189053.0,0.0,3,1,1,24156.0,22.0,0.0,0.0,7439,1
219,1,143481.0,0.0,4,1,1,45891.0,15.0,0.0,0.0,7437,0
220,4,203218.75,0.0,5,1,1,57626.25,32.0,777.5,2.5,7467,1
221,4,203218.75,0.0,5,1,1,57626.25,35.0,550.0,2.0,7467,1
222,2,75039.0,0.0,1,1,1,2750.0,10.0,250.0,1.0,7435,1
223,0,20203.0,0.0,1,1,1,750.0,6.0,0.0,0.0,7467,0
224,1,193976.0,0.0,3,1,1,10849.0,14.0,0.0,0.0,7416,0
225,0,98224.0,0.0,2,1,1,5570.0,11.0,0.0,0.0,7467,0
226,2,117329.0,0.0,1,2,1,6448.0,11.0,0.0,0.0,7416,1
227,2,119239.0,0.0,4,1,1,36362.0,15.0,250.0,1.0,7467,1
228,3,53715.0,0.0,2,1,1,7164.0,15.0,300.0,2.0,7416,0
229,1,153747.0,0.0,5,1,1,57626.25,15.0,0.0,0.0,7409,0
230,2,133309.0,0.0,3,1,1,23987.0,13.0,0.0,0.0,7415,1
231,2,81380.0,0.0,5,1,1,56524.0,22.0,0.0,0.0,7404,1
232,0,22074.0,0.0,1,1,1,6039.0,15.0,0.0,0.0,7404,0
233,2,24051.0,0.0,2,1,1,8764.0,13.0,0.0,0.0,7395,1
234,2,11449.0,0.0,2,1,1,9057.0,13.0,0.0,0.0,7397,1
235,2,182317.0,0.0,2,1,1,19489.0,17.0,273.0,1.0,7397,1
236,3,46184.0,0.0,1,1,1,3125.0,12.0,500.0,1.0,7388,0
237,3,203218.75,0.0,1,1,1,8471.0,18.0,500.0,1.0,7406,1
238,4,30962.0,0.0,5,1,1,57626.25,37.0,777.5,2.5,7360,1
239,0,15525.0,0.0,1,1,1,3853.0,6.0,0.0,0.0,7406,0
240,1,163530.0,0.0,5,1,1,57626.25,25.0,0.0,0.0,7406,0
241,2,2075.0,0.0,2,1,1,5002.0,14.0,0.0,0.0,7374,1
242,1,203218.75,0.0,4,1,1,41186.0,13.0,0.0,0.0,7369,0
243,4,118934.0,0.0,5,1,1,57626.25,37.0,777.5,2.5,7354,0
244,2,203218.75,0.0,5,1,1,57626.25,22.0,0.0,0.0,7348,1
245,4,12526.0,0.0,4,1,1,56076.0,19.0,777.5,2.5,7375,1
246,3,176090.0,0.0,1,1,1,5300.0,9.0,777.5,2.5,7344,0
247,2,15221.0,0.0,1,1,1,4425.0,9.0,0.0,0.0,7361,1
248,2,92875.0,0.0,5,1,1,57626.25,14.0,0.0,0.0,7344,1
249,1,88702.0,0.0,2,1,1,9620.0,13.0,50.0,1.0,7406,0
250,0,62882.0,0.0,1,1,1,1925.0,8.0,0.0,0.0,7375,0
251,0,30015.0,0.0,1,1,1,5875.0,32.0,0.0,0.0,7341,0
252,3,87293.0,0.0,3,1,1,21584.0,17.0,777.5,2.0,7406,0
253,2,45225.0,0.0,3,1,1,14711.0,15.0,0.0,0.0,7339,1
254,2,96098.0,0.0,1,1,1,12500.0,4.0,0.0,0.0,7339,1
255,1,203218.75,0.0,5,1,1,57626.25,12.0,0.0,0.0,7375,0
256,3,203218.75,0.0,1,1,1,8534.0,14.0,777.5,2.5,7375,0
257,2,25279.0,0.0,2,1,1,14938.0,26.0,0.0,0.0,7327,1
258,3,198137.0,0.0,1,1,1,6303.0,6.0,500.0,1.0,7323,0
259,4,203218.75,0.0,5,1,1,57626.25,18.0,250.0,2.5,7375,1
260,3,149733.0,0.0,1,1,1,605.0,3.0,500.0,1.0,7323,0
261,0,70730.0,0.0,1,1,1,1319.0,12.0,0.0,0.0,7316,0
262,1,164613.0,0.0,2,1,1,11095.0,13.0,0.0,0.0,7375,0
263,3,47557.0,0.0,2,1,1,10267.0,18.0,200.0,2.5,7345,0
264,3,35065.0,0.0,1,1,1,5400.0,5.0,777.5,2.5,7311,1
265,2,105769.0,0.0,3,1,1,23097.0,16.0,0.0,0.0,7345,1
266,0,35900.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7304,0
267,0,43088.0,0.0,1,1,1,4000.0,1.0,0.0,0.0,7345,0
268,4,58703.0,0.0,4,1,1,46473.0,34.0,777.5,2.5,7296,1
269,2,70354.0,0.0,5,1,1,57626.25,22.0,0.0,0.0,7290,1
270,2,145726.0,0.0,3,1,1,19019.0,15.0,0.0,0.0,7292,1
271,2,121639.0,0.0,5,1,1,57626.25,7.0,0.0,0.0,7288,1
272,2,70676.0,0.0,5,1,1,57626.25,15.0,0.0,0.0,7288,1
273,3,18263.0,0.0,1,1,1,2100.0,4.0,777.5,2.0,7285,0
274,0,51250.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7283,0
275,3,203218.75,0.0,1,1,1,17108.0,32.0,777.5,2.5,7283,1
276,0,12895.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7277,0
277,2,120073.0,0.0,3,1,1,12423.0,29.0,0.0,0.0,7276,1
278,0,2003.0,0.0,1,1,1,980.0,2.0,0.0,0.0,7274,0
279,2,22652.0,0.0,5,1,1,57626.25,14.0,0.0,0.0,7271,1
280,0,168515.0,0.0,1,1,1,4600.0,4.0,0.0,0.0,7269,0
281,4,44873.0,0.0,4,1,1,38740.0,18.0,777.5,2.0,7267,1
282,1,190542.0,0.0,1,1,1,8487.0,9.0,0.0,0.0,7267,0
283,3,156230.0,0.0,1,1,1,5300.0,8.0,777.5,2.5,7260,1
284,2,79211.0,0.0,4,1,1,36776.0,14.0,0.0,0.0,7260,1
285,4,98006.0,0.0,4,1,1,46349.0,20.0,777.5,2.5,7332,1
286,2,33982.0,0.0,5,1,1,57626.25,17.0,0.0,0.0,7255,1
287,1,62998.0,0.0,2,1,1,11326.0,24.0,0.0,0.0,7253,0
288,2,137908.0,0.0,5,1,1,57626.25,19.0,0.0,0.0,7250,1
289,1,45586.0,0.0,4,1,1,37459.0,15.0,0.0,0.0,7246,0
290,4,203218.75,0.0,5,1,1,57626.25,16.0,777.5,2.0,7243,1
291,4,145993.0,0.0,5,1,1,57626.25,17.0,500.0,1.0,7229,1
292,2,203218.75,0.0,5,1,1,57626.25,20.0,0.0,0.0,7279,1
293,0,12195.0,0.0,1,1,1,3875.0,17.0,0.0,0.0,7229,0
294,0,16622.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7229,0
295,1,141813.0,0.0,4,1,1,39743.0,14.0,0.0,0.0,7254,0
296,2,58139.0,0.0,4,1,1,38408.0,16.0,150.0,1.0,7227,1
297,1,203218.75,0.0,3,1,1,20521.0,16.0,0.0,0.0,7220,0
298,4,149286.0,0.0,4,1,1,42141.0,30.0,777.5,2.5,7222,1
299,0,35945.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7220,0
300,3,28218.0,0.0,1,1,1,750.0,4.0,750.0,2.5,7232,1
301,0,7061.0,0.0,1,1,1,7100.0,12.0,0.0,0.0,7218,0
302,2,203218.75,0.0,4,1,1,49198.0,20.0,0.0,0.0,7215,1
303,1,203218.75,0.0,4,1,1,28200.0,27.0,0.0,0.0,7213,0
304,1,125465.0,0.0,3,1,1,14750.0,9.0,0.0,0.0,7206,0
305,2,94222.0,0.0,4,1,1,52081.0,24.0,0.0,0.0,7201,1
306,0,123370.0,0.0,1,1,1,7478.0,16.0,0.0,0.0,7197,0
307,3,203218.75,0.0,1,1,1,8001.0,25.0,777.5,2.5,7326,1
308,0,112969.0,0.0,2,1,1,7572.0,7.0,0.0,0.0,7192,0
309,0,46430.0,0.0,1,1,1,2100.0,4.0,500.0,1.0,7194,0
310,1,179433.0,0.0,4,1,1,30476.0,15.0,0.0,0.0,7187,0
311,2,20746.0,0.0,4,1,1,37534.0,17.0,0.0,0.0,7185,1
312,2,61455.0,0.0,4,1,1,28765.0,17.0,0.0,0.0,7183,1
313,4,203218.75,0.0,5,1,1,57626.25,20.0,777.5,2.5,7183,1
314,4,179559.0,0.0,3,1,1,17819.0,12.0,777.5,2.0,7173,1
315,3,119977.0,0.0,1,1,1,9275.0,16.0,777.5,2.5,7226,1
316,0,16928.0,0.0,1,1,1,1000.0,1.0,0.0,0.0,7173,0
317,0,65316.0,0.0,1,1,1,3917.0,10.0,0.0,0.0,7254,0
318,3,203218.75,0.0,1,1,1,11398.0,3.0,398.0,1.0,7162,1
319,2,52060.0,0.0,1,1,1,6500.0,3.0,0.0,0.0,7162,1
320,1,84700.0,0.0,3,1,1,13544.0,17.0,0.0,0.0,7162,0
321,4,203218.75,0.0,3,1,1,32404.0,20.0,777.5,2.0,7159,1
322,2,20457.0,0.0,4,1,1,51399.0,16.0,0.0,0.0,7193,1
323,3,203218.75,0.0,1,1,1,21666.0,19.0,777.5,2.5,7155,1
324,1,50325.0,0.0,3,1,1,11930.0,14.0,0.0,0.0,7155,0
325,3,203218.75,0.0,1,1,1,258.0,2.0,258.0,2.0,7141,1
326,1,73849.0,0.0,2,1,1,11793.0,21.0,0.0,0.0,7250,0
327,4,203218.75,0.0,5,1,1,57626.25,26.0,777.5,2.5,7164,1
328,4,138999.0,0.0,5,1,1,57626.25,29.0,600.0,2.5,7153,1
329,0,65573.0,0.0,1,1,1,3875.0,23.0,0.0,0.0,7130,0
330,2,172288.0,0.0,5,1,1,57626.25,10.0,0.0,0.0,7130,1
331,0,47958.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7130,0
332,1,133002.0,0.0,3,1,1,15672.0,21.0,150.0,1.0,7117,0
333,2,42363.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7120,1
334,2,133370.0,0.0,4,1,1,44299.0,18.0,0.0,0.0,7101,1
335,4,203218.75,0.0,4,1,1,57313.0,27.0,777.5,2.0,7101,1
336,1,105166.0,0.0,4,1,1,37663.0,22.0,0.0,0.0,7120,0
337,0,34956.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7172,0
